Player,Pos,Squad,Comp,Age,MP,pca_pass_x,pca_pass_y,pass cluster,pca_chances_x,pca_chances_y,chances cluster,pca_misc_x,pca_misc_y,misc cluster
Marvelous Nakamba,MF,Aston Villa,eng Premier League,26,13,-15.152039948222125,-23.67564892487004,0,25.53495439827625,-2.126075991401389,0,-74.7722388405788,-21.379106463827092,0
Marvin,"DF,FW",Real Madrid,es La Liga,20,4,18.811753381886643,6.7900115885755215,2,-24.418727580050565,0.1303636863823909,1,46.89934964843799,51.564452748350014,2
Marvin Friedrich,DF,Union Berlin,de Bundesliga,24,34,16.39728940254601,-9.50848761974014,2,0.5649781190463405,-1.066630223413573,0,66.58174013383342,-4.31074600753741,2
Marvin Plattenhardt,DF,Hertha BSC,de Bundesliga,28,16,16.674302271570625,-8.036893488582074,2,-24.416622570172965,0.6294328217097016,1,52.0672224137186,6.494545995932733,2
Marvin Tshibuabua,DF,Saint-Étienne,fr Ligue 1,18,1,-11.230687698558311,-18.308510692766397,0,-24.42341981283081,-0.7404920734721362,1,-81.56992976602025,-51.2419569518635,0
Marvin Zeegelaar,DF,Udinese,it Serie A,29,24,-7.404090813986757,-7.844843972152241,2,-13.329517632108782,-0.5191913020688136,1,-37.69519414515813,-7.468008607088584,0
Marwin Hitz,GK,Dortmund,de Bundesliga,32,16,-16.930549601112823,-30.445461185986154,0,-24.458059505387574,-1.5053252772151255,1,-108.30641416518627,46.95209999094004,0
Masaya Okugawa,MF,Arminia,de Bundesliga,24,13,-60.62031131430107,11.094166752460612,1,13.073803746800786,-0.5564175727575685,0,-140.61834661900588,-33.10480363074868,0
Mason Greenwood,FW,Manchester Utd,eng Premier League,18,31,-2.984533638050197,14.098682412846086,2,9.947138980403878,1.4105951080106314,0,37.52253057309691,2.8534683187492513,2
Mason Holgate,DF,Everton,eng Premier League,23,28,2.876834005886083,-15.859709675863764,2,35.538642798968034,-2.043528884653686,0,-13.701398633911335,-11.459614855033958,2
Mason Mount,"MF,FW",Chelsea,eng Premier League,21,36,28.925250783693244,11.836270621961102,2,7.371140146691782,3.527755423676827,0,119.2570639590863,-3.589670245885392,1
Massadio Haïdara,DF,Lens,fr Ligue 1,27,25,11.503259670456325,-5.283482718684123,2,6.367121246546563,-0.757664325049263,0,39.901993701053364,-0.5973381826699574,2
Matěj Vydra,FW,Burnley,eng Premier League,28,28,-42.29416039019263,40.45959290022739,1,1.3249329548724649,1.147779857744254,0,-124.50121137224141,-18.990817357706625,0
Mateo Klimowicz,"FW,MF",Stuttgart,de Bundesliga,20,25,-27.476457929003214,5.251231275313544,1,5.930192712471669,1.365465529544463,0,-23.83983611020689,-2.1652218884131833,2
Mateo Kovačić,MF,Chelsea,eng Premier League,26,27,85.81311588070554,18.31686905417301,3,-7.002762356457422,0.7839557756458062,1,265.87841236491073,-14.981493720701016,1
Mateo Musacchio,DF,Lazio,it Serie A,29,4,11.523320967917941,-15.828008850982297,2,-24.458059505387574,-1.5053252772151255,1,35.815784385539835,-48.310588478643695,2
Mateo Musacchio,DF,Milan,it Serie A,29,1,26.44454197941371,-16.266299307814386,2,-24.458059505387574,-1.5053252772151255,1,18.516600269392775,52.21443504914914,2
Mateo Pavlović,DF,Angers,fr Ligue 1,30,14,1.1919294567774774,-20.52702584770702,2,-24.444908531789736,-0.9824649216246053,1,-28.176570674546785,48.94310574766602,2
Mateu Morey,DF,Dortmund,de Bundesliga,20,13,64.69971713357671,9.895752711853882,3,-24.418540280041153,0.5290154458809811,1,129.97422640045593,14.26309900607042,1
Mateusz Klich,MF,Leeds United,eng Premier League,30,35,21.531226207460215,9.479025098602598,2,5.020675869957795,1.7537888558878862,0,50.45512064942094,-0.26657940072826586,2
Matheus Cunha,"FW,MF",Hertha BSC,de Bundesliga,21,27,-21.216026070591354,12.511967002403546,1,21.164105446576375,2.668296993223626,0,49.85392382265911,-3.608571820492949,2
Matheus Pereira,"MF,FW",West Brom,eng Premier League,24,33,-14.06307141273364,6.763884161155105,1,14.938422944456358,1.8452489066159763,0,3.333834567092948,2.3535932149995844,2
Mathew Leckie,"FW,DF",Hertha BSC,de Bundesliga,29,17,-12.840179547595644,8.600903369028128,1,25.5580634677374,-0.9941657542713447,0,10.750185350940901,15.837077146798226,2
Mathew Ryan,GK,Arsenal,eng Premier League,28,3,-34.234703006898634,-38.150624831485224,0,-24.458059505387574,-1.5053252772151255,1,-128.7716140787975,46.575415379626385,0
Mathew Ryan,GK,Brighton,eng Premier League,28,11,-15.36752930189305,-27.12980982012973,0,-24.458059505387574,-1.5053252772151255,1,-111.36074593774234,45.68130472345564,0
Mathías Olivera,DF,Getafe,es La Liga,22,31,-21.03631878908399,-17.520818725690344,0,3.366379351741398,-0.6319283643609802,0,-47.61342175144727,-16.54123446611498,0
Mathias Pereira Lage,"FW,MF",Angers,fr Ligue 1,23,28,-23.49067479855492,10.344736668834434,1,10.198060878608544,0.08081502403096001,0,-60.997956278561844,-8.454295330628103,0
Mathieu Cafaro,"MF,FW",Reims,fr Ligue 1,23,31,-16.46628574066454,0.5838184517398448,1,8.418476144270342,0.49837596294552067,0,28.18147765755863,9.809389419091424,2
Mathieu Debuchy,DF,Saint-Étienne,fr Ligue 1,35,26,4.706375296857058,-9.791413558480494,2,2.480323834288767,-0.3536095142348455,0,-43.18693887185085,-4.769222561701574,0
Mathys Saban,FW,Saint-Étienne,fr Ligue 1,18,1,0.09635950608737855,-13.618714415703733,2,-24.458059505387574,-1.5053252772151255,1,-88.0483044867964,38.16697341622621,0
Matías Vecino,MF,Inter,it Serie A,28,8,2.6041625881294226,-6.184177198444102,2,35.61034840336893,0.32528981294476417,0,-38.796561421816754,-15.993214563038116,0
Matija Nastasić,DF,Schalke 04,de Bundesliga,27,15,15.46943048106956,-14.476827675614048,2,4.144471335269091,-1.7643504266877896,0,-16.64051736448406,-49.93388947674901,2
Mato Jajalo,MF,Udinese,it Serie A,32,1,46.457848799987126,-3.6932140299461897,3,-24.458059505387574,-1.5053252772151255,1,25.943807921984114,45.80096725301278,2
Matondo-Merveille Papela,DF,Mainz 05,de Bundesliga,19,1,-91.8074664748247,27.41826238182395,1,-24.458059505387574,-1.5053252772151255,1,-210.70476715926583,37.70842994390573,0
Mats Hummels,DF,Dortmund,de Bundesliga,31,33,69.48742026074109,4.17215051311559,3,27.261106633142884,-1.4962757654177918,0,241.04461067642524,-13.33359735129306,1
Matt Doherty,DF,Tottenham,eng Premier League,28,17,22.765383029787404,-2.9137936037290273,2,8.860411898287447,-0.699123900360045,0,-6.438537627796374,7.7407519305555885,2
Matt Phillips,MF,West Brom,eng Premier League,29,33,-30.2763627667247,7.513309346300973,1,16.488201799293712,0.012703320373198289,0,-27.76028639220537,2.7061467233134118,2
Matt Ritchie,"DF,MF",Newcastle Utd,eng Premier League,30,18,-15.42618012076601,-13.132330149613113,0,-15.303482615866098,1.0494952046727983,1,-42.35985878960433,-24.353974322361598,0
Matt Targett,DF,Aston Villa,eng Premier League,24,38,12.185745957866313,-12.193830509999291,2,8.867152757745766,-0.24729008758051338,0,-61.25741955890884,-29.22932531885198,0
Matteo Ahlinvi,MF,Nîmes,fr Ligue 1,21,20,-12.887252965247857,-5.14542949854033,0,30.067082211199214,-1.361108703659699,0,57.970250220801205,-16.373043069916907,2
Matteo Darmian,DF,Inter,it Serie A,30,26,-8.608508285149014,-11.187115591423698,2,31.176331051470335,-0.6295748591521492,0,-59.60646636189608,28.662620689847582,0
Matteo Darmian,DF,Parma,it Serie A,30,3,-4.002673951782513,-12.882374289190125,2,-24.45103611932327,-1.1119639826421353,1,-96.43897716477726,-5.7377502443816475,0
Matteo Gabbia,DF,Milan,it Serie A,20,8,30.0018775302245,-12.687375897962326,2,-24.436273341588574,-0.7595630992651967,1,35.297997245785865,51.415155830671175,2
Mattéo Guendouzi,MF,Hertha BSC,de Bundesliga,21,24,16.083891600180532,-3.6718636567062894,2,28.474425771008463,-0.6217270964939028,0,123.68156367490354,5.938744373786877,1
Matteo Lovato,DF,Hellas Verona,it Serie A,20,24,-8.11192265299458,-23.271228390430494,0,-24.447595811498207,-0.9542773586821285,1,-29.25895898655314,-9.286385176257397,2
Matteo Pessina,MF,Atalanta,it Serie A,23,28,19.339649032869108,13.856465615621476,2,21.10409429299808,0.7278480730752173,0,49.69830610217552,7.600445409005787,2
Matteo Politano,FW,Napoli,it Serie A,26,37,-0.6953852402727282,4.477251821830612,2,7.9701304682093115,2.9805942786160906,0,145.83117161487155,2.5189647467313683,1
Matteo Ricci,MF,Spezia,it Serie A,26,29,40.49867932997827,-3.7078278500787243,3,-0.6217737699253004,-0.11827730695301877,0,16.092320697416167,-9.761374017631752,2
Matteo Ruggeri,DF,Atalanta,it Serie A,18,6,15.937578935918037,-4.706895339265342,2,-24.42142439042742,0.2861496808166406,1,12.584931645502515,4.050032679585833,2
Matteo Scozzarella,MF,Parma,it Serie A,32,3,31.887517120642077,1.2778939647841965,3,-24.3908946890566,2.2604108519564146,1,35.93351289063056,53.2074127640699,2
Mattéo Tramoni,"FW,MF",Cagliari,it Serie A,20,6,-45.090845454560984,-9.739554144053944,0,-24.43711991563303,-1.039249323418294,1,-149.31013104632828,40.3163061072501,0
Matthew Hoppe,FW,Schalke 04,de Bundesliga,19,22,-46.60378459413963,28.374812181526945,1,16.489886785105575,-0.5460152153765956,0,-118.98371390611854,1.159413231465824,0
Matthew Longstaff,MF,Newcastle Utd,eng Premier League,20,5,-18.705334383756757,-10.388154184754452,0,-24.450228933454405,-1.0664606170106927,1,-126.2185411350626,-56.973767236709854,0
Matthew Lowton,DF,Burnley,eng Premier League,31,34,-9.98003183521581,-18.15948848847766,0,-5.428378327368106,-0.37255391131910215,1,-53.3748229027161,-16.620443814380206,0
Matthias Ginter,DF,M'Gladbach,de Bundesliga,26,34,46.05293997233292,-2.8108630765256404,3,11.95847916868193,-1.2485233259458692,0,141.46342373032547,-15.360141909568974,1
Matthieu Dreyer,GK,Lorient,fr Ligue 1,31,15,-43.84947102367768,-35.28748420331228,0,-24.456929445171166,-1.441620565331106,1,-138.74403358012339,45.92947090279322,0
Matthieu Udol,DF,Metz,fr Ligue 1,24,25,8.379577365683778,-12.032452925725012,2,8.873981033962405,-0.263077748764541,0,33.228337303643386,-17.833259292419676,2
Matthijs de Ligt,DF,Juventus,it Serie A,20,27,51.26579172430715,-2.7711408760206475,3,7.164019393817856,-0.969376685919202,0,119.98922225677126,-14.865368193512857,1
Matthis Abline,FW,Rennes,fr Ligue 1,17,1,-82.06465971328602,-31.97271506905048,0,-24.458059505387574,-1.5053252772151255,1,-197.8701793591565,-55.90879000822305,0
Mattia Bani,DF,Genoa,it Serie A,26,11,11.894716789713652,-14.505492635055846,2,-4.4515459351004125,-1.5078231187707662,0,-29.414442997868424,14.681172503286893,2
Mattia Bani,DF,Parma,it Serie A,26,15,26.757789198581037,-9.906007486066047,2,0.5513841891319542,-1.4638571273451457,0,44.44230165957455,-46.15482943766606,2
Mattia Caldara,DF,Atalanta,it Serie A,26,6,4.074424779342216,-22.429109979679186,2,-24.429459869573346,-0.8710687545757512,1,-13.808988617864896,45.19642892247484,2
Mattia De Sciglio,DF,Juventus,it Serie A,27,1,23.986836933504648,-5.189566099173425,2,-24.381318862873137,0.915370941626461,1,-27.81329858753766,47.20951762140932,2
Mattia De Sciglio,DF,Lyon,fr Ligue 1,27,29,1.0110538086964769,-5.172117139360401,2,25.528081234012642,-2.5425702070255003,0,12.456867430882868,-6.095527976514658,2
Mattia Destro,FW,Genoa,it Serie A,29,29,-47.67091403833622,27.70494250487343,1,36.09587388115493,-1.072787400454231,0,-134.7013867013798,-4.673571714000817,0
Mattia Pagliuca,MF,Bologna,it Serie A,18,1,-16.86666226731072,61.50314915196963,1,-24.133716581184675,16.732603277928376,1,-43.60022142928044,-58.67407826052494,0
Mattia Perin,GK,Genoa,it Serie A,27,32,-26.334406480792502,-31.642566506450716,0,-24.45700152456328,-1.4474171908763762,1,-106.85958818068136,47.64644458941796,0
Mattia Sprocati,FW,Parma,it Serie A,27,1,-21.37311942230915,-31.35312907736273,0,-24.458059505387574,-1.5053252772151255,1,-193.63825362266599,34.26602775807789,0
Mattia Zaccagni,"MF,FW",Hellas Verona,it Serie A,25,36,-14.903675301005718,14.697492620327534,1,15.603785739804216,0.8413503714699236,0,77.21661647802424,-2.0488450057670797,2
Mattias Svanberg,MF,Bologna,it Serie A,21,34,-16.76173549354408,-12.332385939668495,0,5.432206117089056,1.1677707343996595,0,-27.23700226650274,-14.14999018326106,2
Matty Cash,DF,Aston Villa,eng Premier League,22,28,0.03298252234803833,-16.53773811817074,2,-2.2391046071142355,-0.7214731275475323,0,-2.5294201659155733,-11.574414994160884,2
Matz Sels,GK,Strasbourg,fr Ligue 1,28,6,-37.31450886725764,-33.19545388341618,0,-24.458059505387574,-1.5053252772151255,1,-132.15853282722853,46.45200761549756,0
Mauro Arambarri,MF,Getafe,es La Liga,24,34,-25.315386969493176,-13.17729896589349,0,-5.309023144107973,0.1138345104269646,1,-38.03934322344575,-6.659690639443766,0
Mauro Icardi,FW,Paris S-G,fr Ligue 1,27,20,-49.56349566459836,12.90930655151452,1,9.841004961702522,0.9557879488154081,0,-151.09957588243785,-56.580168103652035,0
Max Kilman,DF,Wolves,eng Premier League,23,18,16.857944609016172,-13.034216289763178,2,8.845790683426888,-1.652797243545319,0,24.177664794815502,-21.165206425838893,2
Max Kruse,"FW,MF",Union Berlin,de Bundesliga,32,22,-4.483985985952439,12.523157159418506,2,27.817674408908054,1.1469151034110545,0,-3.6049035620027317,-27.79883013437438,2
Max Lowe,DF,Sheffield Utd,eng Premier League,23,8,-21.162720502538782,-8.903104276807529,0,25.54817058053377,-1.468795372879162,0,-85.58846734366448,-22.807014109261463,0
Max Meyer,MF,Köln,de Bundesliga,24,10,41.85381330123899,13.790828831422969,3,25.607937211939245,-0.17974214590560383,0,72.08087162889736,-47.70221214139504,2
Maxence Caqueret,MF,Lyon,fr Ligue 1,20,29,26.326619920844724,-1.0424763356499043,2,-24.410212266343564,0.888428543701031,1,42.524052465342145,-17.24261738586179,2
Maxence Lacroix,DF,Wolfsburg,de Bundesliga,20,30,29.25550852597177,-9.596282376110105,2,-12.637123057024775,-0.88992545012122,1,114.56402677300225,-14.467105073386188,2
Maxence Rivera,"MF,FW",Saint-Étienne,fr Ligue 1,18,17,-0.16231759766674372,10.207042793167016,2,25.569162947826694,-0.6668498500731107,0,71.23223628507824,23.385088171860023,2
Maxi Gómez,FW,Valencia,es La Liga,23,31,-43.81733574003677,19.200412334145863,1,19.997392875551053,-0.23030605823139266,0,-138.68664559593316,-12.97862487203588,0
Maxime Busi,DF,Parma,it Serie A,20,24,26.253976636986163,-2.6361330411348356,2,-11.92869241457932,-0.2946591666946933,1,56.81394241213529,6.926839345100871,2
Maxime Gonalons,MF,Granada,es La Liga,31,25,0.6286634487354853,-16.37634460744249,2,8.85379620429184,-1.012330465354248,0,5.812576913012149,-13.427637096025324,2
Maxime Le Marchand,DF,Fulham,eng Premier League,30,2,34.817215603023044,-9.619315897421917,3,-24.423213171205052,0.057125499575653056,1,15.48675554521443,52.53234773492545,2
Maxime Lopez,"FW,MF",Marseille,fr Ligue 1,22,4,45.17029186819439,5.910247351562449,3,-24.4131872310815,0.9975512713701291,1,-6.403192797273013,-46.36383736996545,2
Maxime Lopez,MF,Sassuolo,it Serie A,22,29,29.34206507176985,24.8477654453077,3,11.98590866917593,0.3172511327883807,0,157.93976427184913,-2.5652894764129766,1
Maxime Poundjé,DF,Bordeaux,fr Ligue 1,27,14,3.330682923113077,-9.801786405626695,2,-24.44018868738905,-0.6080646693478423,1,77.37469777740381,-14.396565851059119,2
Maximilian Arnold,MF,Wolfsburg,de Bundesliga,26,30,16.577661203459208,-11.372752837601539,2,5.22606337804608,1.5845928598764736,0,38.611061082414786,-29.021194801264514,2
Maximilian Beier,FW,Hoffenheim,de Bundesliga,17,3,17.83053161518293,19.216731119685207,2,-24.458059505387574,-1.5053252772151255,1,232.29136238640928,65.35750142196189,1
Maximilian Eggestein,MF,Werder Bremen,de Bundesliga,23,33,-5.095102289695178,-4.931527088016644,2,-1.7207709565235232,-0.0899641114718709,0,-43.27842038840018,-5.891822877215812,0
Maximilian Mittelstädt,DF,Hertha BSC,de Bundesliga,23,27,12.159947312780675,-7.481326995877828,2,4.97886325507603,-0.1287713041726917,0,69.09157707375162,-8.160622659402312,2
Maximilian Philipp,MF,Wolfsburg,de Bundesliga,26,24,-21.22003666567677,11.153893147004641,1,29.223145452661793,0.4914204164229126,0,-106.61971893436642,-29.245915147426096,0
Maximiliano Olivera,DF,Fiorentina,it Serie A,28,2,-16.16151960535361,-27.6143018359231,0,-24.458059505387574,-1.5053252772151255,1,-122.05504968720157,41.19110782541757,0
Maxwel Cornet,"DF,FW",Lyon,fr Ligue 1,23,36,25.238551894224685,-4.381332877152712,2,25.57916223852573,-0.34173349294584715,0,47.42288318308598,-1.5761352118574283,2
Maya Yoshida,DF,Sampdoria,it Serie A,31,32,5.970891883753836,-18.229786862281397,2,-7.744223925391547,-1.248371847328039,1,-29.43841414343013,-26.659715464225695,2
